Gender,Race,Age_Group,Location,English_Fluency,Education,Experience_Years,Skills_Score,Hired,model_prediction
Female,White,25-34,Urban,High,Degree,18,0.08,0,0
Female,Coloured,18-24,Rural,Medium,Diploma,15,0.7,1,1
Female,Black,25-34,Urban,Low,Diploma,5,0.07,0,0
Male,Coloured,55+,Rural,Medium,Diploma,5,0.82,1,1
Male,Black,45-54,Urban,Medium,Diploma,2,0.71,1,1
Male,Black,55+,Rural,Medium,Matric,9,0.08,0,0
Male,Black,45-54,Rural,High,Diploma,0,0.08,0,0
Female,Black,55+,Urban,Low,Diploma,13,0.99,1,1
Female,Coloured,35-44,Urban,Medium,Degree,3,0.37,0,0
Female,White,25-34,Urban,Medium,Degree,11,0.37,0,0
Female,Coloured,45-54,Urban,Medium,Diploma,5,0.81,1,1
Male,Black,18-24,Rural,High,Matric,10,0.95,1,1
Male,Black,25-34,Urban,High,Matric,11,0.99,1,1
Male,Black,18-24,Urban,High,Matric,9,0.75,1,1
Female,Black,25-34,Urban,High,Matric,17,0.38,0,0
Male,Black,25-34,Rural,High,Diploma,6,0.08,0,0
Male,Black,55+,Urban,Medium,Matric,6,0.78,1,1
Female,Black,45-54,Urban,High,Matric,10,0.56,1,1
Female,Black,45-54,Urban,Medium,Matric,3,0.42,0,0
Male,White,25-34,Rural,Medium,Matric,19,0.91,1,1
Male,Other,35-44,Urban,Low,Matric,0,0.11,0,0
Male,Indian,35-44,Urban,High,Matric,12,0.49,1,1
Male,White,18-24,Urban,High,Diploma,17,0.01,0,0
Male,Black,18-24,Urban,Medium,Diploma,8,0.47,0,0
Male,White,55+,Urban,High,Matric,8,0.06,0,0
Female,Coloured,25-34,Rural,High,Diploma,8,0.12,0,0
Female,Black,18-24,Rural,Low,Diploma,9,0.12,0,0
Female,Black,18-24,Urban,Medium,Matric,1,0.65,1,1
Male,Coloured,25-34,Rural,High,Matric,5,0.75,1,1
Female,Black,55+,Urban,Medium,Diploma,14,0.58,0,0
Male,Black,18-24,Rural,Medium,Degree,2,0.96,1,1
Male,Black,55+,Rural,Low,Matric,10,0.37,0,0
Female,Black,45-54,Urban,Medium,Matric,5,0.29,0,0
Male,Black,55+,Rural,High,Postgraduate,2,0.87,1,1
Male,Black,35-44,Urban,Medium,Matric,10,0.22,0,0
Female,Black,35-44,Urban,High,Matric,14,0.96,1,1
Female,Black,55+,Urban,High,Postgraduate,12,0.01,0,0
Female,Coloured,35-44,Urban,High,Degree,19,0.97,1,1
Male,Black,45-54,Rural,Medium,Diploma,9,0.04,0,0
Female,Black,25-34,Rural,Low,Diploma,5,0.89,1,1
Female,Black,35-44,Urban,Medium,Matric,14,0.53,0,0
Male,Indian,35-44,Rural,Low,Matric,17,0.99,1,1
Female,Black,55+,Rural,High,Diploma,17,0.07,0,0
Female,Black,45-54,Urban,Medium,Matric,6,0.55,0,0
Female,Coloured,25-34,Urban,Medium,Diploma,14,0.97,1,1
Male,Coloured,55+,Urban,Medium,Postgraduate,17,0.52,1,1
Male,Black,55+,Urban,High,Postgraduate,17,0.63,1,1
Male,Coloured,45-54,Rural,High,Matric,19,0.7,1,1
Male,Black,25-34,Urban,Medium,Degree,8,0.45,1,1
Female,Black,45-54,Rural,High,Diploma,1,0.63,1,1
Male,Black,25-34,Urban,Medium,Postgraduate,7,0.58,1,1
Male,Black,45-54,Urban,Medium,Matric,19,0.9,1,1
Female,White,55+,Urban,High,Matric,1,0.05,0,0
Female,Black,55+,Urban,Medium,Matric,10,0.28,0,0
Female,Black,18-24,Urban,High,Diploma,6,0.95,1,1
Male,White,35-44,Urban,Low,Diploma,5,0.89,1,1
Male,Coloured,45-54,Urban,Low,Degree,9,0.46,1,1
Male,Black,18-24,Urban,High,Degree,4,0.62,1,1
Female,White,35-44,Urban,Low,Matric,10,0.28,0,0
Female,Black,45-54,Rural,High,Diploma,0,0.19,0,0
Male,Coloured,25-34,Urban,High,Matric,1,0.46,1,1
Female,White,35-44,Urban,Low,Postgraduate,0,0.35,0,0
Female,Indian,55+,Urban,Medium,Postgraduate,18,0.58,1,1
Female,Black,18-24,Urban,Low,Postgraduate,1,0.08,0,0
Male,Black,35-44,Rural,Medium,Postgraduate,20,0.97,1,1
Female,Black,35-44,Urban,Low,Matric,19,0.99,1,1
Female,Black,55+,Urban,Medium,Matric,20,0.7,1,1
Male,Black,45-54,Rural,Medium,Diploma,3,0.54,0,0
Male,Indian,25-34,Urban,Medium,Postgraduate,11,0.31,0,0
Female,Black,55+,Urban,High,Matric,19,0.81,1,1
Female,Black,25-34,Urban,High,Matric,17,0.68,1,1
Male,Coloured,45-54,Urban,High,Degree,0,0.16,0,0
Male,Black,35-44,Urban,Medium,Matric,0,0.91,1,1
Female,Coloured,25-34,Urban,High,Diploma,13,0.82,1,1
Female,Black,18-24,Rural,Medium,Degree,3,0.95,1,1
Female,Black,18-24,Rural,High,Matric,4,0.73,1,1
Female,Black,55+,Urban,High,Matric,10,0.61,1,1
Male,Black,45-54,Urban,Medium,Degree,12,0.42,0,0
Female,Indian,55+,Rural,Medium,Degree,15,0.93,1,1
Female,Black,55+,Urban,High,Postgraduate,12,0.87,1,1
Male,Black,55+,Rural,High,Diploma,1,0.05,0,0
Female,Black,18-24,Rural,High,Matric,15,0.03,0,0
Male,Black,18-24,Rural,Medium,Degree,5,0.38,0,0
Female,Coloured,55+,Urban,Medium,Diploma,13,0.81,1,1
Female,Black,18-24,Urban,Low,Matric,0,0.99,1,1
Male,White,45-54,Urban,High,Degree,16,0.15,0,0
Male,Indian,55+,Rural,Low,Matric,10,0.59,1,1
Female,Black,18-24,Urban,High,Matric,18,0.38,0,0
Female,Indian,25-34,Rural,Low,Matric,2,0.97,1,1
Female,Black,55+,Urban,Low,Diploma,10,0.84,1,1
Male,Black,55+,Urban,Medium,Diploma,4,0.84,1,1
Female,Black,45-54,Urban,High,Diploma,16,0.47,1,1
Male,White,35-44,Urban,Low,Degree,6,0.41,1,1
Male,Other,35-44,Urban,Medium,Postgraduate,9,0.27,0,0
Female,Black,45-54,Urban,Medium,Matric,10,0.06,0,0
Male,White,45-54,Rural,Medium,Matric,2,0.86,1,1
Female,Black,45-54,Urban,Low,Matric,19,0.81,1,1
Female,Black,35-44,Urban,High,Matric,9,1.0,1,1
Female,Black,45-54,Urban,Medium,Degree,9,1.0,1,1
Female,Indian,18-24,Rural,Low,Degree,13,0.56,1,1
Female,White,55+,Rural,High,Degree,11,0.77,1,1
Male,Black,55+,Urban,High,Matric,14,0.94,1,1
Male,Black,25-34,Rural,Medium,Diploma,9,0.85,1,1
Female,Black,25-34,Rural,Medium,Diploma,9,0.25,0,0
Female,Black,55+,Urban,High,Matric,18,0.45,0,0
Male,Black,18-24,Urban,High,Degree,0,0.13,0,0
Male,Coloured,35-44,Urban,High,Postgraduate,9,0.95,1,1
Male,Black,35-44,Urban,Medium,Diploma,1,0.61,1,1
Male,Black,18-24,Rural,Medium,Degree,16,0.23,0,0
Female,Black,35-44,Urban,High,Diploma,6,0.67,1,1
Female,Coloured,45-54,Rural,Low,Matric,6,0.62,0,0
Male,White,55+,Urban,Medium,Diploma,19,0.36,0,0
Female,Black,55+,Urban,High,Matric,8,0.11,0,0
Male,White,18-24,Urban,Medium,Matric,1,0.67,1,1
Female,Black,35-44,Urban,Medium,Degree,13,0.52,1,1
Male,Black,25-34,Rural,Medium,Postgraduate,16,0.77,1,1
Female,Black,25-34,Rural,Low,Diploma,0,0.52,0,0
Male,Black,35-44,Urban,Medium,Diploma,8,0.85,1,1
Male,Black,25-34,Urban,High,Postgraduate,19,0.55,1,1
Female,Indian,18-24,Urban,Medium,Degree,20,0.56,1,1
Male,Coloured,18-24,Urban,Low,Degree,18,0.88,1,1
Female,White,35-44,Urban,High,Matric,3,0.4,0,0
Female,Black,25-34,Urban,Medium,Postgraduate,7,0.13,0,0
Male,Black,18-24,Urban,Medium,Matric,12,0.03,0,0
Female,White,18-24,Rural,High,Degree,3,0.76,1,1
Female,Black,45-54,Urban,High,Matric,8,0.62,1,1
Female,Black,45-54,Urban,Medium,Degree,8,0.7,1,1
Female,Black,18-24,Urban,High,Matric,17,0.21,0,0
Female,Coloured,35-44,Urban,Low,Diploma,11,0.14,0,0
Male,Black,55+,Urban,High,Diploma,9,0.01,0,0
Female,Black,55+,Rural,Medium,Matric,10,0.35,0,0
Female,Coloured,18-24,Rural,High,Degree,6,0.59,1,1
Female,Black,18-24,Urban,Medium,Postgraduate,8,0.39,0,0
Female,Black,18-24,Urban,Medium,Postgraduate,5,0.44,0,0
Female,Black,35-44,Urban,Medium,Matric,18,0.9,1,1
Male,Black,45-54,Rural,Medium,Degree,15,0.35,0,0
Female,Coloured,18-24,Urban,High,Degree,14,0.51,1,1
Male,Black,18-24,Urban,Medium,Diploma,6,0.78,1,1
Male,Black,25-34,Urban,Medium,Matric,15,0.4,0,0
Male,Coloured,35-44,Urban,Medium,Degree,4,0.62,1,1
Male,Coloured,18-24,Urban,Medium,Postgraduate,15,0.86,1,1
Female,Coloured,25-34,Rural,High,Degree,0,0.95,1,1
Male,Black,55+,Urban,High,Diploma,18,0.15,0,0
Male,Black,18-24,Urban,Medium,Diploma,4,0.93,1,1
Female,Other,18-24,Urban,High,Matric,6,0.49,1,1
Female,Coloured,25-34,Rural,High,Degree,18,0.26,0,0
Female,Black,35-44,Rural,Medium,Degree,4,0.46,0,0
Male,Black,18-24,Urban,Medium,Matric,16,0.98,1,1
Female,Black,55+,Rural,High,Postgraduate,7,0.49,1,1
Female,Indian,18-24,Urban,Medium,Matric,0,0.33,0,0
Male,Black,55+,Urban,High,Postgraduate,1,0.63,1,1
Female,Black,45-54,Urban,Medium,Diploma,14,0.24,0,0
Female,Black,45-54,Urban,Medium,Matric,19,0.08,0,0
Female,White,55+,Urban,Medium,Diploma,17,0.13,0,0
Female,Coloured,35-44,Urban,Medium,Diploma,10,0.13,0,0
Male,Black,18-24,Urban,High,Matric,9,0.15,0,0
Female,Coloured,18-24,Rural,Medium,Diploma,3,0.14,0,0
Female,Indian,45-54,Urban,Medium,Diploma,4,0.64,1,1
Male,Black,55+,Urban,High,Degree,3,0.18,0,0
Female,Black,18-24,Urban,Medium,Matric,12,0.35,0,0
Male,Black,18-24,Rural,Medium,Diploma,12,0.9,1,1
Female,Coloured,35-44,Urban,High,Matric,17,0.47,1,1
Male,Black,25-34,Urban,High,Degree,1,0.67,1,1
Male,White,45-54,Rural,Low,Matric,15,0.17,0,0
Male,Coloured,45-54,Urban,Medium,Postgraduate,0,0.19,0,0
Male,Black,25-34,Urban,Medium,Degree,18,0.04,0,0
Female,Indian,18-24,Rural,Medium,Diploma,8,0.17,0,0
Male,Black,35-44,Urban,Medium,Diploma,2,0.28,0,0
Female,Black,35-44,Urban,Medium,Matric,6,0.18,0,0
Male,White,45-54,Urban,Low,Matric,9,0.09,0,0
Male,Coloured,35-44,Urban,Medium,Postgraduate,0,0.12,0,0
Male,Black,25-34,Urban,Low,Postgraduate,9,0.46,1,1
Female,Coloured,18-24,Urban,Medium,Matric,20,0.21,0,0
Male,Indian,25-34,Urban,High,Diploma,8,0.36,0,0
Female,Black,55+,Urban,High,Degree,14,0.5,1,1
Female,Other,45-54,Rural,Medium,Degree,14,0.69,1,1
Female,Black,35-44,Urban,Low,Matric,2,0.04,0,0
Female,Black,55+,Urban,Medium,Matric,4,0.8,1,1
Female,Black,35-44,Rural,Medium,Matric,8,0.63,0,0
Female,Coloured,18-24,Urban,Medium,Degree,8,0.08,0,0
Female,White,18-24,Urban,Medium,Diploma,6,0.87,1,1
Female,Black,18-24,Rural,Medium,Diploma,11,0.92,1,1
Female,Black,35-44,Urban,High,Postgraduate,8,0.06,0,0
Male,White,55+,Urban,Medium,Degree,5,0.28,0,0
Male,Black,18-24,Rural,Medium,Postgraduate,1,0.81,1,1
Male,Coloured,55+,Urban,High,Diploma,8,0.75,1,1
Male,Coloured,35-44,Urban,Medium,Matric,16,0.18,0,0
Male,Black,55+,Urban,Low,Postgraduate,0,0.21,0,0
Female,Indian,35-44,Urban,Medium,Diploma,18,0.37,0,0
Female,Black,35-44,Urban,Medium,Matric,5,0.48,0,0
Female,Other,45-54,Rural,High,Diploma,4,0.62,1,1
Female,White,35-44,Urban,Medium,Matric,1,0.37,0,0
Female,White,35-44,Rural,Medium,Diploma,8,0.46,0,0
Female,Black,25-34,Urban,Medium,Postgraduate,13,0.75,1,1
Female,Coloured,18-24,Rural,Low,Postgraduate,3,0.04,0,0
Male,Black,45-54,Rural,High,Postgraduate,3,0.25,0,0
Male,Black,45-54,Urban,High,Matric,20,0.71,1,1
Male,Black,45-54,Urban,Medium,Diploma,14,0.9,1,1
Male,Black,25-34,Urban,Medium,Matric,7,0.51,0,0
Female,Black,35-44,Urban,Medium,Postgraduate,3,0.53,1,1
Female,White,18-24,Rural,High,Diploma,15,0.11,0,0
Female,Coloured,55+,Rural,Low,Degree,20,0.45,0,0
Male,Black,35-44,Urban,Low,Degree,3,0.53,1,1
Female,White,25-34,Urban,Medium,Diploma,15,0.24,0,0
Female,Black,35-44,Urban,Medium,Diploma,11,0.27,0,0
Female,Coloured,35-44,Urban,Medium,Postgraduate,15,0.38,0,0
Male,Coloured,25-34,Urban,Low,Postgraduate,18,0.02,0,0
Female,Black,45-54,Rural,Medium,Matric,7,0.32,0,0
Male,White,45-54,Rural,Medium,Diploma,5,0.21,0,0
Male,Black,18-24,Urban,Medium,Postgraduate,9,0.33,0,0
Male,Black,18-24,Urban,High,Matric,4,0.12,0,0
Male,Coloured,45-54,Urban,Low,Diploma,17,0.89,1,1
Female,Black,55+,Urban,Medium,Matric,9,0.59,1,1
Male,Black,35-44,Urban,Medium,Diploma,9,0.68,1,1
Male,Black,55+,Urban,Medium,Matric,6,0.79,1,1
Female,Coloured,35-44,Rural,Medium,Diploma,17,0.5,0,0
Female,Black,45-54,Urban,High,Matric,0,0.09,0,0
Male,Black,18-24,Urban,Low,Diploma,6,0.54,1,1
Female,White,18-24,Rural,High,Postgraduate,20,0.59,1,1
Male,Coloured,55+,Rural,Medium,Degree,0,0.75,1,1
Male,Black,18-24,Urban,Medium,Degree,14,0.43,0,0
Male,Black,45-54,Urban,Medium,Degree,3,0.13,0,0
Male,Black,55+,Urban,Medium,Matric,19,0.28,0,0
Female,Black,35-44,Rural,High,Matric,9,0.36,0,0
Male,Black,18-24,Rural,High,Postgraduate,8,0.65,1,1
Female,White,25-34,Urban,High,Diploma,1,0.57,1,1
Female,White,18-24,Urban,High,Matric,13,0.36,0,0
Female,White,35-44,Rural,High,Degree,15,0.99,1,1
Female,Black,55+,Urban,Medium,Matric,0,0.61,1,1
Male,Coloured,35-44,Urban,Medium,Matric,1,0.24,0,0
Female,Black,25-34,Urban,Medium,Postgraduate,6,0.1,0,0
Male,Indian,45-54,Urban,Low,Postgraduate,9,0.15,0,0
Female,White,18-24,Urban,High,Diploma,19,0.25,0,0
Female,Black,55+,Rural,Medium,Postgraduate,0,0.16,0,0
Male,White,45-54,Rural,Low,Degree,12,0.19,0,0
Male,Black,35-44,Urban,Low,Degree,0,0.29,0,0
Male,White,55+,Urban,Medium,Matric,4,0.17,0,0
Female,Black,45-54,Urban,Medium,Matric,15,0.9,1,1
Female,Black,55+,Urban,Medium,Degree,14,0.08,0,0
Male,Coloured,25-34,Urban,Medium,Postgraduate,16,0.52,1,1
Male,Black,25-34,Rural,Medium,Degree,15,0.41,0,0
Male,Coloured,18-24,Urban,Medium,Matric,12,0.98,1,1
Male,Black,18-24,Urban,Medium,Matric,10,0.11,0,0
Female,White,25-34,Urban,Low,Degree,16,0.4,0,0
Male,White,55+,Rural,Medium,Matric,16,0.97,1,1
Male,Black,25-34,Rural,Medium,Diploma,1,0.87,1,1
Male,Black,18-24,Rural,Low,Matric,12,0.82,1,1
Male,Black,25-34,Rural,Medium,Matric,13,0.26,0,0
Female,Black,25-34,Urban,Low,Degree,10,0.17,0,0
Male,Black,55+,Urban,Medium,Degree,9,0.67,1,1
Female,White,45-54,Urban,Medium,Diploma,2,0.93,1,1
Male,Indian,18-24,Urban,Medium,Matric,16,0.56,1,1
Male,Coloured,55+,Urban,High,Degree,14,0.57,1,1
Female,Coloured,25-34,Urban,Medium,Matric,8,0.28,0,0
Male,Coloured,25-34,Urban,High,Diploma,9,0.77,1,1
Female,White,45-54,Urban,Medium,Postgraduate,7,0.19,0,0
Female,Black,18-24,Urban,Medium,Matric,20,0.32,0,0
Male,Indian,18-24,Rural,Medium,Postgraduate,12,0.43,1,1
Female,White,35-44,Urban,Medium,Matric,17,0.51,0,0
Female,Black,18-24,Urban,Medium,Diploma,4,0.24,0,0
Female,Black,45-54,Urban,Medium,Diploma,5,0.11,0,0
Female,Black,35-44,Urban,Low,Postgraduate,16,0.61,1,1
Female,Black,35-44,Urban,Low,Matric,10,0.29,0,0
Female,Coloured,25-34,Urban,Medium,Diploma,19,0.58,1,1
Female,Black,25-34,Urban,Medium,Postgraduate,15,0.15,0,0
Female,Black,18-24,Urban,Medium,Diploma,8,0.48,0,0
Male,Indian,35-44,Urban,Low,Diploma,1,0.53,1,1
Male,Black,25-34,Urban,High,Matric,4,0.05,0,0
Female,Black,45-54,Urban,High,Degree,0,0.34,0,0
Male,Black,25-34,Urban,High,Matric,3,0.13,0,0
Female,White,25-34,Urban,Medium,Matric,3,0.06,0,0
Female,Indian,35-44,Urban,High,Diploma,2,0.99,1,1
Male,Black,35-44,Urban,High,Diploma,8,0.32,0,0
Female,Coloured,55+,Urban,Medium,Postgraduate,11,0.81,1,1
Female,Black,45-54,Urban,Medium,Postgraduate,9,0.25,0,0
Female,Indian,35-44,Urban,High,Degree,1,0.68,1,1
Female,Coloured,18-24,Rural,Medium,Degree,10,0.76,1,1
Male,Coloured,45-54,Rural,Medium,Degree,9,0.6,1,1
Female,Black,45-54,Rural,Low,Matric,5,0.47,0,0
Female,Indian,35-44,Urban,Low,Degree,17,0.41,0,0
Female,White,45-54,Urban,High,Matric,1,0.35,0,0
Male,Black,35-44,Urban,Medium,Diploma,1,0.93,1,1
Female,Coloured,25-34,Urban,Medium,Degree,9,0.83,1,1
Male,Black,55+,Urban,Low,Diploma,15,0.97,1,1
Male,Coloured,25-34,Urban,Medium,Postgraduate,11,0.12,0,0
Female,Black,35-44,Rural,Medium,Matric,0,0.73,1,1
Female,White,35-44,Urban,Medium,Degree,20,0.94,1,1
Male,Black,25-34,Rural,High,Matric,7,0.18,0,0
Female,Black,18-24,Urban,Low,Degree,15,0.07,0,0
Male,Black,18-24,Urban,Medium,Degree,17,0.74,1,1
Male,Black,18-24,Urban,Medium,Diploma,12,0.57,1,1
Female,Black,35-44,Urban,Medium,Matric,14,0.84,1,1
Female,Black,45-54,Rural,High,Matric,20,0.14,0,0
Male,Black,35-44,Urban,High,Matric,11,0.8,1,1
Male,Black,45-54,Urban,High,Degree,7,0.2,0,0
Male,Black,25-34,Rural,Low,Postgraduate,9,0.16,0,0
Male,White,55+,Urban,Low,Matric,13,0.16,0,0
Female,Black,45-54,Rural,Medium,Degree,4,0.81,1,1
Female,Indian,18-24,Urban,Medium,Postgraduate,17,0.67,1,1
Female,Coloured,35-44,Urban,High,Diploma,18,0.52,1,1
Female,White,25-34,Urban,High,Degree,14,0.36,0,0
Female,Black,18-24,Urban,High,Degree,5,0.88,1,1
Male,Coloured,25-34,Urban,High,Matric,10,0.39,0,0
Female,Black,55+,Urban,High,Matric,20,0.82,1,1
Female,Black,35-44,Rural,Medium,Matric,10,0.44,0,0
Female,Black,35-44,Rural,Medium,Postgraduate,19,0.38,0,0
Female,Coloured,55+,Urban,Medium,Postgraduate,19,0.46,1,1
Female,Black,35-44,Urban,Low,Degree,20,0.3,0,0
Male,Black,45-54,Urban,Low,Matric,17,0.75,1,1
Male,Other,25-34,Urban,Medium,Diploma,17,0.5,0,0
Male,Coloured,18-24,Urban,High,Matric,9,0.23,0,0
Female,Black,55+,Urban,Low,Matric,1,0.9,1,1
Male,Black,45-54,Urban,High,Degree,8,0.38,1,1
Male,Coloured,18-24,Urban,High,Postgraduate,13,0.54,1,1
Female,Black,18-24,Rural,Medium,Postgraduate,18,0.91,1,1
Female,Black,55+,Urban,Low,Degree,9,0.62,1,1
Female,Black,45-54,Urban,Low,Matric,3,0.12,0,0
Male,Indian,18-24,Urban,High,Matric,5,0.94,1,1
Male,White,18-24,Urban,High,Diploma,13,0.63,1,1
Female,Coloured,45-54,Urban,High,Degree,3,0.33,1,1
Female,Coloured,35-44,Urban,Medium,Degree,14,0.14,0,0
Male,Black,18-24,Rural,Low,Diploma,15,0.79,1,1
Male,Black,25-34,Urban,Low,Diploma,6,0.62,1,1
Female,Black,45-54,Urban,High,Matric,16,0.53,0,0
Female,Black,18-24,Rural,Low,Matric,18,0.89,1,1
Male,Black,55+,Rural,Medium,Diploma,18,0.79,1,1
Female,Coloured,25-34,Urban,Medium,Matric,16,0.15,0,0
Male,White,18-24,Urban,Low,Diploma,5,0.31,0,0
Male,Coloured,25-34,Urban,Medium,Postgraduate,10,0.25,0,0
Male,Black,25-34,Urban,Medium,Diploma,15,0.74,1,1
Male,White,35-44,Urban,Medium,Matric,7,0.03,0,0
Female,White,25-34,Urban,Low,Matric,10,0.57,1,1
Female,Black,35-44,Urban,High,Diploma,6,0.76,1,1
Male,White,45-54,Urban,High,Diploma,18,0.88,1,1
Male,Black,35-44,Urban,Medium,Diploma,9,0.34,0,0
Male,Black,55+,Urban,High,Diploma,8,0.82,1,1
Male,Black,18-24,Urban,Medium,Diploma,3,0.11,0,0
Male,Black,45-54,Urban,Medium,Degree,14,0.85,1,1
Female,Black,45-54,Urban,High,Diploma,12,0.13,0,0
Female,White,55+,Urban,High,Degree,1,0.4,1,1
Female,Indian,35-44,Urban,High,Diploma,1,0.8,1,1
Female,White,18-24,Urban,Low,Matric,15,0.15,0,0
Male,White,35-44,Urban,Low,Diploma,8,0.23,0,0
Male,Black,25-34,Urban,High,Diploma,12,0.72,1,1
Male,White,35-44,Rural,Medium,Postgraduate,2,0.72,1,1
Male,Black,45-54,Rural,Medium,Degree,8,0.64,1,1
Male,Black,18-24,Urban,High,Postgraduate,12,0.69,1,1
Female,Black,35-44,Urban,High,Postgraduate,20,0.54,1,1
Male,Black,18-24,Urban,High,Degree,1,0.25,0,0
Female,Black,18-24,Urban,Medium,Diploma,7,0.35,0,0
Female,Black,25-34,Urban,High,Diploma,8,0.18,0,0
Female,Black,25-34,Rural,Low,Postgraduate,15,0.91,1,1
Female,Indian,45-54,Urban,Low,Degree,1,0.58,1,1
Male,Black,55+,Urban,Medium,Matric,5,0.4,0,0
Female,Black,18-24,Rural,Low,Degree,7,0.46,0,0
Female,Black,55+,Rural,Medium,Matric,4,0.95,1,1
Female,White,45-54,Rural,Medium,Diploma,8,0.15,0,0
Male,Black,18-24,Urban,Medium,Matric,0,0.59,1,1
Male,Black,18-24,Urban,Low,Degree,8,0.51,1,1
Male,Black,55+,Urban,Medium,Postgraduate,9,0.61,1,1
Female,Black,35-44,Urban,Medium,Matric,3,0.02,0,0
Female,Black,25-34,Urban,Medium,Matric,2,0.87,1,1
Male,Black,35-44,Urban,High,Matric,9,0.93,1,1
Female,Black,55+,Rural,High,Degree,14,0.57,0,1
Male,Black,25-34,Urban,Medium,Diploma,10,0.7,1,1
Male,Black,35-44,Urban,High,Matric,13,0.92,1,1
Female,Coloured,25-34,Urban,Low,Matric,5,0.71,1,1
Female,Black,18-24,Urban,Medium,Diploma,11,0.15,0,0
Female,Black,35-44,Urban,High,Matric,12,0.58,1,1
Female,Black,25-34,Urban,Medium,Degree,16,0.61,1,1
Male,Indian,25-34,Urban,High,Matric,15,0.42,0,0
Male,Black,25-34,Rural,Medium,Degree,2,0.74,1,1
Male,Black,35-44,Urban,High,Matric,1,0.93,1,1
Male,White,45-54,Rural,Medium,Diploma,10,0.93,1,1
Male,Black,35-44,Urban,Medium,Matric,8,0.45,0,0
Female,Black,55+,Urban,Medium,Degree,2,0.11,0,0
Male,Black,35-44,Urban,High,Postgraduate,17,0.98,1,1
Male,Coloured,25-34,Urban,Medium,Postgraduate,19,0.84,1,1
Male,Black,18-24,Urban,High,Diploma,14,0.12,0,0
Female,White,35-44,Urban,Medium,Diploma,13,0.92,1,1
Female,Other,35-44,Rural,Low,Degree,1,0.87,1,1
Female,Black,25-34,Rural,Medium,Degree,16,0.52,0,0
Female,Black,18-24,Urban,Medium,Matric,7,0.59,0,0
Male,Black,18-24,Rural,High,Degree,9,0.4,0,0
Male,Black,55+,Urban,Medium,Diploma,17,0.05,0,0
Female,Black,35-44,Rural,Medium,Matric,18,0.34,0,0
Female,Indian,18-24,Urban,Medium,Matric,7,0.8,1,1
Male,White,18-24,Urban,Medium,Matric,7,0.0,0,0
Male,White,45-54,Rural,High,Diploma,2,0.33,0,0
Female,Black,45-54,Urban,Medium,Matric,2,0.4,0,0
Female,Coloured,18-24,Rural,Medium,Matric,11,0.54,0,0
Female,Indian,55+,Urban,High,Matric,16,0.92,1,1
Female,Coloured,18-24,Urban,High,Diploma,3,0.35,0,0
Male,Black,25-34,Urban,Medium,Degree,16,0.35,0,0
Male,White,35-44,Urban,Medium,Diploma,13,0.74,1,1
Male,Black,55+,Urban,Medium,Matric,18,0.45,0,0
Female,Black,25-34,Rural,Medium,Matric,8,0.22,0,0
Female,Black,55+,Urban,High,Postgraduate,20,0.45,0,0
Male,White,25-34,Rural,Medium,Diploma,11,0.14,0,0
Male,White,35-44,Rural,Medium,Diploma,4,0.18,0,0
Male,Black,35-44,Urban,Medium,Matric,10,0.5,0,0
Male,Black,45-54,Rural,Medium,Degree,19,0.42,0,0
Female,Black,25-34,Rural,Low,Diploma,2,0.91,1,1
Male,Black,45-54,Rural,Low,Matric,20,0.36,0,0
Male,Black,25-34,Rural,Medium,Matric,14,0.58,0,0
Male,Black,45-54,Rural,Low,Diploma,13,0.63,0,0
Male,Coloured,35-44,Urban,Low,Degree,10,0.01,0,0
Male,Black,55+,Urban,Medium,Postgraduate,19,0.66,1,1
Male,Black,45-54,Rural,Low,Degree,7,0.18,0,0
Male,Black,25-34,Urban,Low,Degree,3,0.96,1,1
Female,Indian,25-34,Urban,Medium,Matric,11,0.15,0,0
Female,White,35-44,Urban,Medium,Diploma,7,0.41,0,0
Female,White,25-34,Rural,Medium,Degree,5,0.09,0,0
Female,Black,18-24,Urban,Low,Matric,14,1.0,1,1
Male,Black,55+,Rural,High,Postgraduate,11,0.5,1,1
Female,Black,45-54,Urban,High,Matric,15,0.6,1,1
Female,White,55+,Urban,High,Diploma,15,0.07,0,0
Male,Indian,35-44,Urban,Medium,Degree,20,0.75,1,1
Male,White,45-54,Urban,High,Degree,19,0.21,0,0
Female,Coloured,45-54,Urban,Medium,Degree,19,0.9,1,1
Female,White,18-24,Rural,Low,Matric,3,0.21,0,0
Male,Black,35-44,Rural,Medium,Degree,10,0.19,0,0
Female,Indian,25-34,Urban,High,Diploma,12,0.04,0,0
Male,Black,18-24,Urban,Medium,Diploma,8,0.47,0,0
Male,Black,18-24,Rural,Low,Postgraduate,3,0.56,1,1
Male,Black,55+,Rural,High,Degree,11,0.07,0,0
Male,Black,55+,Urban,High,Matric,8,0.78,1,1
Female,Black,55+,Urban,Low,Degree,12,0.45,0,0
Male,Black,18-24,Urban,Medium,Matric,15,0.52,1,1
Male,Black,25-34,Rural,Low,Matric,5,0.44,0,0
Female,Black,45-54,Urban,High,Diploma,9,0.4,0,0
Male,Black,55+,Urban,Medium,Postgraduate,12,0.56,1,1
Female,Black,25-34,Urban,Medium,Matric,6,0.16,0,0
Female,Black,35-44,Rural,High,Degree,18,0.18,0,0
Female,Black,55+,Urban,Medium,Matric,18,0.86,1,1
Male,White,45-54,Urban,Medium,Degree,16,0.95,1,1
